Bucket_num_and_HB_CH,Date,Site,Site_Bucket,BPM,TRMT,,,,,,,,,,,,,,,,,
0,9/2/16 19:49,Moneybogue,MBC_0,46.8,H,,,,,,,,,,,,,,,,,
0,9/2/16 19:59,Moneybogue,MBC_0,46.8,H,,,,,,,,,,,,,,,,,
0,9/2/16 20:09,Moneybogue,MBC_0,47.4,H,,,,,,,,,,,,,,,,,
0,9/2/16 20:19,Moneybogue,MBC_0,46.8,H,,,,,,,,,,,,,,,,,
0,9/2/16 20:29,Moneybogue,MBC_0,46.8,H,,,,,,,,,,,,,,,,,
0,9/2/16 20:39,Moneybogue,MBC_0,46.2,H,,,,,,,,,,,,,,,,,
0,9/2/16 20:49,Moneybogue,MBC_0,46.2,H,,,,,,,,,,,,,,,,,
0,9/2/16 20:59,Moneybogue,MBC_0,45.6,H,,,,,,,,,,,,,,,,,
0,9/2/16 21:09,Moneybogue,MBC_0,45.6,H,,,,,,,,,,,,,,,,,
0,9/2/16 21:19,Moneybogue,MBC_0,45.6,H,,,,,,,,,,,,,,,,,
0,9/2/16 21:29,Moneybogue,MBC_0,45,H,,,,,,,,,,,,,,,,,
0,9/2/16 21:39,Moneybogue,MBC_0,45,H,,,,,,,,,,,,,,,,,
0,9/2/16 21:49,Moneybogue,MBC_0,45,H,,,,,,,,,,,,,,,,,
0,9/2/16 21:59,Moneybogue,MBC_0,45,H,,,,,,,,,,,,,,,,,
0,9/2/16 22:09,Moneybogue,MBC_0,45,H,,,,,,,,,,,,,,,,,
0,9/2/16 22:19,Moneybogue,MBC_0,45,H,,,,,,,,,,,,,,,,,
0,9/2/16 22:29,Moneybogue,MBC_0,45,H,,,,,,,,,,,,,,,,,
0,9/2/16 22:39,Moneybogue,MBC_0,45,H,,,,,,,,,,,,,,,,,
0,9/2/16 22:49,Moneybogue,MBC_0,45,H,,,,,,,,,,,,,,,,,
0,9/2/16 22:59,Moneybogue,MBC_0,45,H,,,,,,,,,,,,,,,,,
0,9/2/16 23:09,Moneybogue,MBC_0,45,H,,,,,,,,,,,,,,,,,
0,9/2/16 23:19,Moneybogue,MBC_0,45,H,,,,,,,,,,,,,,,,,
0,9/2/16 23:29,Moneybogue,MBC_0,45,H,,,,,,,,,,,,,,,,,
0,9/2/16 23:39,Moneybogue,MBC_0,45,H,,,,,,,,,,,,,,,,,
0,9/2/16 23:49,Moneybogue,MBC_0,45,H,,,,,,,,,,,,,,,,,
0,9/2/16 23:59,Moneybogue,MBC_0,45,H,,,,,,,,,,,,,,,,,
0,9/3/16 0:09,Moneybogue,MBC_0,45,H,,,,,,,,,,,,,,,,,
0,9/3/16 0:19,Moneybogue,MBC_0,45,H,,,,,,,,,,,,,,,,,
0,9/3/16 0:29,Moneybogue,MBC_0,45,H,,,,,,,,,,,,,,,,,
0,9/3/16 0:39,Moneybogue,MBC_0,45,H,,,,,,,,,,,,,,,,,
0,9/3/16 0:49,Moneybogue,MBC_0,45,H,,,,,,,,,,,,,,,,,
0,9/3/16 0:59,Moneybogue,MBC_0,45.6,H,,,,,,,,,,,,,,,,,
0,9/3/16 1:09,Moneybogue,MBC_0,45,H,,,,,,,,,,,,,,,,,
0,9/3/16 1:19,Moneybogue,MBC_0,45.6,H,,,,,,,,,,,,,,,,,
0,9/3/16 1:29,Moneybogue,MBC_0,45,H,,,,,,,,,,,,,,,,,
0,9/3/16 1:39,Moneybogue,MBC_0,45,H,,,,,,,,,,,,,,,,,
0,9/3/16 1:49,Moneybogue,MBC_0,45,H,,,,,,,,,,,,,,,,,
0,9/3/16 1:59,Moneybogue,MBC_0,44.4,H,,,,,,,,,,,,,,,,,
0,9/3/16 2:09,Moneybogue,MBC_0,44.4,H,,,,,,,,,,,,,,,,,
0,9/3/16 2:19,Moneybogue,MBC_0,44.4,H,,,,,,,,,,,,,,,,,
0,9/3/16 2:29,Moneybogue,MBC_0,44.4,H,,,,,,,,,,,,,,,,,
0,9/3/16 2:39,Moneybogue,MBC_0,44.4,H,,,,,,,,,,,,,,,,,
0,9/3/16 2:49,Moneybogue,MBC_0,44.4,H,,,,,,,,,,,,,,,,,
0,9/3/16 2:59,Moneybogue,MBC_0,44.4,H,,,,,,,,,,,,,,,,,
0,9/3/16 3:09,Moneybogue,MBC_0,44.4,H,,,,,,,,,,,,,,,,,
0,9/3/16 3:19,Moneybogue,MBC_0,43.8,H,,,,,,,,,,,,,,,,,
0,9/3/16 3:29,Moneybogue,MBC_0,43.8,H,,,,,,,,,,,,,,,,,
0,9/3/16 3:39,Moneybogue,MBC_0,43.8,H,,,,,,,,,,,,,,,,,
0,9/3/16 3:49,Moneybogue,MBC_0,43.2,H,,,,,,,,,,,,,,,,,
0,9/3/16 3:59,Moneybogue,MBC_0,43.2,H,,,,,,,,,,,,,,,,,
0,9/3/16 4:09,Moneybogue,MBC_0,43.2,H,,,,,,,,,,,,,,,,,
0,9/3/16 4:19,Moneybogue,MBC_0,43.2,H,,,,,,,,,,,,,,,,,
0,9/3/16 4:29,Moneybogue,MBC_0,43.2,H,,,,,,,,,,,,,,,,,
0,9/3/16 4:39,Moneybogue,MBC_0,43.2,H,,,,,,,,,,,,,,,,,
0,9/3/16 4:49,Moneybogue,MBC_0,43.2,H,,,,,,,,,,,,,,,,,
0,9/3/16 4:59,Moneybogue,MBC_0,43.2,H,,,,,,,,,,,,,,,,,
0,9/3/16 5:09,Moneybogue,MBC_0,43.2,H,,,,,,,,,,,,,,,,,
0,9/3/16 5:19,Moneybogue,MBC_0,43.2,H,,,,,,,,,,,,,,,,,
0,9/3/16 5:29,Moneybogue,MBC_0,43.2,H,,,,,,,,,,,,,,,,,
0,9/3/16 5:39,Moneybogue,MBC_0,42.6,H,,,,,,,,,,,,,,,,,
0,9/3/16 5:49,Moneybogue,MBC_0,42.6,H,,,,,,,,,,,,,,,,,
0,9/3/16 5:59,Moneybogue,MBC_0,43.2,H,,,,,,,,,,,,,,,,,
0,9/3/16 6:09,Moneybogue,MBC_0,42.6,H,,,,,,,,,,,,,,,,,
0,9/3/16 6:19,Moneybogue,MBC_0,42.6,H,,,,,,,,,,,,,,,,,
0,9/3/16 6:29,Moneybogue,MBC_0,42.6,H,,,,,,,,,,,,,,,,,
0,9/3/16 6:39,Moneybogue,MBC_0,42.6,H,,,,,,,,,,,,,,,,,
0,9/3/16 6:49,Moneybogue,MBC_0,42.6,H,,,,,,,,,,,,,,,,,
0,9/3/16 6:59,Moneybogue,MBC_0,42.6,H,,,,,,,,,,,,,,,,,
0,9/3/16 7:09,Moneybogue,MBC_0,42,H,,,,,,,,,,,,,,,,,
0,9/3/16 7:19,Moneybogue,MBC_0,42.6,H,,,,,,,,,,,,,,,,,
0,9/3/16 7:29,Moneybogue,MBC_0,42.6,H,,,,,,,,,,,,,,,,,
