Date_Time,FI,SAG,QTK,NCB,MBC
7/19/2016 23:00,-0.218333333,-0.738333333,-1.928333333,-0.568333333,0.431666667
7/20/2016 0:00,0.02,-0.643333333,-0.853333333,0.555,-1.43
7/20/2016 1:00,0.066666667,-0.085,-3.913333333,-0.953333333,-0.773333333
7/20/2016 2:00,0.065,-0.591666667,-0.55,0.446666667,-0.351666667
7/20/2016 3:00,-0.035,0.128333333,1.983333333,-0.63,-0.128333333
7/20/2016 4:00,-0.035,0.005,-0.178333333,0.025,-0.305
7/20/2016 5:00,-0.346666667,0.18,-0.566666667,-0.455,-0.736666667
7/20/2016 6:00,-0.1,-0.121666667,-0.621666667,-0.028333333,-1.296666667
7/20/2016 7:00,-0.333333333,-0.221666667,-0.471666667,-0.446666667,-0.363333333
7/20/2016 8:00,0.133333333,-0.021666667,-0.065,-1.008333333,0.338333333
7/20/2016 9:00,-0.311666667,-0.155,0.251666667,1.058333333,-1.35
7/20/2016 10:00,-0.175,-0.401666667,-1.206666667,0.28,-0.856666667
7/20/2016 11:00,-0.003333333,-0.318333333,0.746666667,0.503333333,2.921666667
7/20/2016 12:00,-0.018333333,0.376666667,0.16,0.375,-0.79
7/20/2016 13:00,0.208333333,0.296666667,0.723333333,0.64,0.138333333
7/20/2016 14:00,0.35,-0.136666667,-0.876666667,-0.271666667,0.573333333
7/20/2016 15:00,0.531666667,0.368333333,0.076666667,1.941666667,0.326666667
7/20/2016 16:00,0.23,0.023333333,3.461666667,0.46,4.463333333
7/20/2016 17:00,0.016666667,0.653333333,2.235,0.121666667,0.951666667
7/20/2016 18:00,-0.3,0.758333333,3.123333333,0.371666667,0.896666667
7/20/2016 19:00,-0.105,0.175,0.903333333,-0.383333333,2.533333333
7/20/2016 20:00,0.001666667,0.343333333,-0.743333333,-0.653333333,0.843333333
7/20/2016 21:00,0.026666667,0.356666667,-1.388333333,-0.701666667,-0.005
7/20/2016 22:00,0.135,0.226666667,-0.091666667,1.736666667,-1.201666667
